time,FLOW,TEMP,SALT,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop
2013-05-15,0.016015902561630362,15.664516129032258,0,292.2597951354373,126.3866,0.48823128091420775,0.5378411910669975,0.08018608355130719,18.926535579324923,170.3388202139243,18.926535579324923,1.3423174709408834,1.3423174709408834,2.6846349418817663,0.019507464777510555,0.019507464777510555,0.4551741781419129
2013-05-16,0.014969754357736969,15.3409375,0,294.29721930804186,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-17,0.014128799090739648,15.288333333333334,0,294.63084253026005,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-18,0.017009445462551703,14.9034375,0,297.0926066233896,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-19,0.02412582062948862,14.635208333333333,0,298.82999091351576,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-20,0.038485753924487505,14.398854166666666,0,300.37600203419083,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-21,0.026369463887432908,15.25625,0,294.8346515232011,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-22,0.02041198770027524,16.026354166666668,0,290.01114089376546,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-23,0.019665694576974067,15.6815625,0,292.1531610641256,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-24,0.0185724125141043,13.759479166666667,0,304.6305290407756,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-25,0.016168566037051437,11.813541666666667,0,318.26336670191444,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-26,0.014886534569501281,12.67125,0,312.12349047285795,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-27,0.014087653845073593,12.969166666666666,0,310.039854618473,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-28,0.01407557504309397,14.818958333333333,0,297.6378492501371,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-29,0.013962661533298337,16.213229166666668,0,288.86187611625036,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-30,0.01316198572745191,16.799895833333334,0,285.3062888058706,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-05-31,0.014262179911068007,17.084583333333335,0,283.6089751399875,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-06-01,0.013631637277066271,17.277291666666667,0,282.4702591924277,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
2013-06-02,0.017497306176032134,16.981875,0,284.2192381272958,126.3866,0,1.467741935483871,0.15794228578287778,12.489592006661118,112.40632805995006,12.489592006661118,0.5864425700184944,0.5864425700184944,1.1728851400369888,0.035365057225674144,0.035365057225674144,0.8251846685990633
