time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_poc,OGM_don,OGM_dop,OGM_pop,PHS_frp_ads,OGM_pon
2013-05-15,0.016015902,15.66451613,0,292.2597951,0.388026608,0.629032258,0.105294857,158.2014988,15.82014988,1.47,0.074911204,0.568905982,0.105294857,12.21294113
2013-05-16,0.014969754,15.3409375,0,294.2972193,0.379002733,0.648537134,0.106519216,158.1038284,15.81038284,1.468951175,0.161123668,1.343593797,0.106519216,12.19302071
2013-05-17,0.014128799,15.28833333,0,294.6308425,0.369978858,0.668042011,0.107743575,158.0061581,15.80061581,1.467902351,0.153005212,1.269303337,0.107743575,12.17310029
2013-05-18,0.017009445,14.9034375,0,297.0926066,0.360954984,0.687546887,0.108967934,157.9084878,15.79084878,1.466853526,0.144886757,1.195012877,0.108967934,12.15317987
2013-05-19,0.024125821,14.63520833,0,298.8299909,0.351931109,0.707051763,0.110192292,157.8108175,15.78108175,1.465804702,0.136768301,1.120722418,0.110192292,12.13325944
2013-05-20,0.038485754,14.39885417,0,300.376002,0.342907235,0.726556639,0.111416651,157.7131472,15.77131472,1.464755877,0.128649845,1.046431958,0.111416651,12.11333902
2013-05-21,0.026369464,15.25625,0,294.8346515,0.33388336,0.746061515,0.11264101,157.6154768,15.76154768,1.463707052,0.12053139,0.972141498,0.11264101,12.0934186
2013-05-22,0.020411988,16.02635417,0,290.0111409,0.324859485,0.765566392,0.113865369,157.5178065,15.75178065,1.462658228,0.112412934,0.897851039,0.113865369,12.07349817
2013-05-23,0.019665695,15.6815625,0,292.1531611,0.315835611,0.785071268,0.115089728,157.4201362,15.74201362,1.461609403,0.104294479,0.823560579,0.115089728,12.05357775
2013-05-24,0.018572412,13.75947917,0,304.630529,0.306811736,0.804576144,0.116314086,157.3224659,15.73224659,1.460560579,0.106231837,0.839772449,0.116314086,12.03365733
2013-05-25,0.016168566,11.81354167,0,318.2633667,0.297787862,0.82408102,0.117538445,157.2247956,15.72247956,1.459511754,0.108169196,0.855984319,0.117538445,12.0137369
2013-05-26,0.014886534,12.67125,0,312.1234905,0.288763987,0.843585896,0.118762804,157.1271252,15.71271252,1.458462929,0.110106555,0.872196189,0.118762804,11.99381648
