"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:T-Node_DO_Test_062618.CR6","17771","DOTest"
"TIMESTAMP","RECORD","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","ModbusReadTime","doobs_5","dosat_5","dotemp_5","DO_ReadTime_5","doobs_9","dosat_9","dotemp_9","DO_ReadTime_9"
"TS","RN","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","µg_L","µg_L","µg_L","","µg_L","µg_L","µg_L",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2018-07-02 16:54:30",0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,762,NAN,NAN,NAN,1624
"2018-07-02 16:55:00",1,0,0,0,0,0,0,0,0,0,0,7999,NAN,NAN,NAN,762,NAN,NAN,NAN,1624
"2018-07-02 16:56:00",2,0,0,0,0,0,0,0,0,0,0,7999,NAN,NAN,NAN,762,NAN,NAN,NAN,1624
"2018-07-09 09:48:30",0,26.03,25.91,25.29,18.16,13.84,11.3,11.27,11.27,11.26,11.25,0,7.266,66.37,11.31,1328,7.522,68.66,11.28,2751
"2018-07-09 09:49:00",1,26.03,25.91,25.39,18.2,13.85,11.3,11.27,11.27,11.26,11.25,7999,7.267,66.38,11.31,1331,7.52,68.65,11.29,2775
"2018-07-09 13:59:30",2,28.14,26.3,25.03,18.73,13.56,11.27,11.29,11.3,11.28,11.25,7999,7.278,66.44,11.29,1331,7.528,68.71,11.28,2755
"2018-07-09 14:00:30",3,28.19,26.31,25.01,18.7,13.57,11.27,11.29,11.3,11.28,11.25,7999,7.277,66.42,11.28,1331,7.524,68.67,11.28,2755
"2018-08-13 13:59:00",0,27.33,27.13,25.83,20.4,15.31,12.86,12.09,12.08,12.06,12.05,7999,1.223,11.53,12.7,1334,0.241,2.238,12.08,2755
"2018-08-27 17:49:30",0,26.71,24.28,23.9,22.19,16.1,12.84,12.1,11.98,11.87,11.79,7999,-0.065,-0.611,12.69,1325,-0.074,-0.684,11.83,2746
"2018-08-27 17:50:00",1,26.72,24.27,23.9,22.19,16.09,12.84,12.1,11.98,11.87,11.79,7999,-0.065,-0.617,12.69,1325,-0.074,-0.684,11.83,2755
