DateTime,Depth_m,Reservoir,Rep,ch4_umolL,co2_umolL,flag_ch4,flag_co2
2016-04-06,0.1,BVR,1,0.039701696,17.06123662,1,1
2016-04-06,0.1,BVR,2,0.037183317,14.37767194,1,1
2016-04-06,3,BVR,1,0.034803126,13.08747949,1,1
2016-04-06,3,BVR,2,0.033534549,12.4888021,1,1
2016-04-06,6,BVR,1,0.016797622,29.60626173,1,1
2016-04-06,6,BVR,2,0.016484112,27.8022998,1,1
2016-04-06,9,BVR,1,0.008572477,NA,1,3
2016-04-06,9,BVR,2,0.008677089,40.89198468,1,3
2016-04-06,11,BVR,1,0.004945066,55.07651375,1,1
2016-04-06,11,BVR,2,0.005782311,58.5484766,1,1
2016-04-20,0.1,BVR,1,0.121713878,10.87008715,2,1
2016-04-20,0.1,BVR,2,0.186020931,9.771151357,2,1
2016-04-20,3,BVR,1,0.110085764,7.83619595,1,1
2016-04-20,3,BVR,2,0.118761357,8.915797259,1,1
2016-04-20,6,BVR,1,0.02345991,19.96225413,1,1
2016-04-20,6,BVR,2,0.02606683,16.56548519,1,1
2016-04-20,9,BVR,1,0.011834611,51.58425899,1,1
2016-04-20,9,BVR,2,0.013156964,44.51876056,1,1
2016-04-20,9,BVR,3,0.120691354,58.47821704,3,1
2016-04-20,9,BVR,4,NA,35.23007187,3,1
2016-04-20,11,BVR,1,0.015466333,53.2081975,1,1
2016-04-20,11,BVR,2,0.013006328,72.92826091,1,1
2016-04-20,300,BVR,1,69.62562427,204.2999412,1,1
2016-05-04,0.1,BVR,1,0.172432168,13.30994226,1,1
2016-05-04,0.1,BVR,2,0.177196714,10.57506867,1,1
2016-05-04,3,BVR,1,0.316684521,11.44818106,2,1
2016-05-04,3,BVR,2,0.218849899,7.591159226,2,1
2016-05-04,6,BVR,1,0.132575421,11.80768446,1,1
2016-05-04,6,BVR,2,0.136216956,10.38401959,1,1
2016-05-04,9,BVR,1,0.034511322,64.72143066,1,1
2016-05-04,9,BVR,2,0.035127071,63.97572428,1,1
2016-05-04,11,BVR,1,0.26343389,90.60156425,1,1
2016-05-04,11,BVR,2,0.195496326,91.96444897,1,1
2016-05-04,300,BVR,1,47.78572668,522.0332572,1,3
2016-05-04,300,BVR,2,48.63134289,NA,1,3
2016-05-12,0.1,BVR,1,0.2540095,11.66920963,1,1
2016-05-12,0.1,BVR,2,0.238030207,12.88085649,1,1
2016-05-12,3,BVR,1,0.531739374,17.49107499,1,1
2016-05-12,3,BVR,2,0.471677871,15.1378729,1,1
2016-05-12,6,BVR,1,0.208747785,20.46795741,1,1
2016-05-12,6,BVR,2,0.230572869,23.65852702,1,1
2016-05-12,9,BVR,1,0.045941388,140.846472,1,1
2016-05-12,9,BVR,2,0.055657351,144.8683889,1,1
2016-05-12,11,BVR,1,4.01013969,140.6641192,1,1
2016-05-12,11,BVR,2,4.005990609,152.0194912,1,1
2016-05-12,300,BVR,1,NA,213.243717,3,1
2016-05-12,300,BVR,2,89.46057542,249.8542413,3,1
2016-05-19,0.1,BVR,1,0.29171743,17.92123147,1,1
2016-05-19,0.1,BVR,2,0.277046138,20.22677498,1,1
2016-05-19,3,BVR,1,0.248648642,17.73898706,1,1
2016-05-19,3,BVR,2,0.281938823,18.92455415,1,1
2016-05-19,6,BVR,1,0.197717076,30.09362364,2,1
2016-05-19,6,BVR,2,0.269702883,22.19678834,2,1
2016-05-19,9,BVR,1,0.035944097,NA,2,3
2016-05-19,9,BVR,2,0.049845517,102.43986,2,3
2016-05-19,11,BVR,1,6.939683285,69.84447455,1,1
2016-05-19,11,BVR,2,6.767445513,62.75455624,1,1
2016-05-19,300,BVR,1,257.8735082,168.2944498,3,1
2016-05-19,300,BVR,2,NA,157.8853909,3,1
2016-05-26,0.1,BVR,1,0.318904732,14.98305929,1,2
2016-05-26,0.1,BVR,2,0.358942065,24.63797483,1,2
2016-05-26,3,BVR,1,0.272007209,16.38031494,1,1
2016-05-26,3,BVR,2,0.30233632,15.64130806,1,1
2016-05-26,6,BVR,1,0.306703938,16.88022464,1,2
2016-05-26,6,BVR,2,0.229266229,23.82680444,1,2
2016-05-26,9,BVR,1,12.54049148,119.0189327,1,2
2016-05-26,9,BVR,2,10.34022443,137.0313715,1,2
2016-05-26,11,BVR,1,29.38056509,NA,3,3
2016-05-26,11,BVR,2,NA,117.0926189,3,3
2016-05-26,300,BVR,1,161.3347246,370.0490732,1,1
2016-05-26,300,BVR,2,163.6108891,386.4456076,1,1
2016-05-29,0.1,BVR,1,0.400210854,12.46502002,1,2
2016-05-29,0.1,BVR,2,0.347945265,20.06017656,1,2
2016-05-29,3,BVR,1,0.283932093,12.48124814,1,1
2016-05-29,3,BVR,2,0.267196982,12.75721957,1,1
2016-05-29,6,BVR,1,0.088029196,26.26124197,1,1
2016-05-29,6,BVR,2,0.09622335,26.61287567,1,1
2016-05-29,9,BVR,1,0.581889162,NA,1,3
2016-05-29,9,BVR,2,0.664294275,80.20354683,1,3
2016-05-29,11,BVR,1,30.87707623,174.3955252,1,1
2016-05-29,11,BVR,2,32.36098968,135.9043952,1,1
2016-05-29,300,BVR,1,164.1307197,245.5020174,1,1
2016-05-29,300,BVR,2,168.9301457,266.0551435,1,1
2016-05-31,0.1,BVR,1,0.192962702,13.4647539,1,1
2016-05-31,0.1,BVR,2,0.248742244,10.97740835,1,1
2016-05-31,3,BVR,1,0.403327459,13.36886102,1,1
2016-05-31,3,BVR,2,0.383304512,11.55032762,1,1
2016-05-31,6,BVR,1,0.086266654,30.30622399,1,1
2016-05-31,6,BVR,2,0.09053518,27.40276676,1,1
2016-05-31,9,BVR,1,0.18578343,74.55547052,3,1
2016-05-31,9,BVR,2,NA,86.43315579,3,1
2016-05-31,11,BVR,1,NA,125.8585502,4,1
2016-05-31,11,BVR,2,NA,100.0993067,4,1
2016-05-31,300,BVR,1,149.0656109,323.7718611,1,1
2016-05-31,300,BVR,2,160.5791171,440.0850114,1,1
2016-06-02,0.1,BVR,1,0.661574788,14.86724781,1,1
2016-06-02,0.1,BVR,2,0.536307456,15.39741709,1,1
