
############## carina - 07/24/20 18:10:17 EDT -0400 ##############

2020-07-24 18:10:17 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-25 04:03:52 64 bytes from 8.8.8.8: icmp_seq=250 ttl=114 time=53.1 ms
2020-07-25 04:04:52 64 bytes from 8.8.8.8: icmp_seq=251 ttl=114 time=54.1 ms
2020-07-25 04:05:52 64 bytes from 8.8.8.8: icmp_seq=252 ttl=114 time=43.2 ms
2020-07-25 04:06:52 64 bytes from 8.8.8.8: icmp_seq=253 ttl=114 time=43.3 ms
2020-07-25 04:07:52 64 bytes from 8.8.8.8: icmp_seq=254 ttl=114 time=47.6 ms
2020-07-25 04:08:52 64 bytes from 8.8.8.8: icmp_seq=255 ttl=114 time=47.4 ms
2020-07-25 04:09:52 64 bytes from 8.8.8.8: icmp_seq=256 ttl=114 time=45.2 ms
2020-07-25 04:10:52 64 bytes from 8.8.8.8: icmp_seq=257 ttl=114 time=47.4 ms
2020-07-25 04:11:52 64 bytes from 8.8.8.8: icmp_seq=258 ttl=114 time=53.7 ms
2020-07-25 04:12:52 64 bytes from 8.8.8.8: icmp_seq=259 ttl=114 time=53.8 ms
2020-07-25 04:13:53 64 bytes from 8.8.8.8: icmp_seq=260 ttl=114 time=43.0 ms
2020-07-25 04:14:53 64 bytes from 8.8.8.8: icmp_seq=261 ttl=114 time=56.6 ms
2020-07-25 04:15:53 64 bytes from 8.8.8.8: icmp_seq=262 ttl=114 time=45.9 ms
2020-07-25 04:16:53 64 bytes from 8.8.8.8: icmp_seq=263 ttl=114 time=38.3 ms
2020-07-25 04:17:53 64 bytes from 8.8.8.8: icmp_seq=264 ttl=114 time=47.8 ms
2020-07-25 04:18:53 64 bytes from 8.8.8.8: icmp_seq=265 ttl=114 time=44.5 ms
2020-07-25 04:19:53 64 bytes from 8.8.8.8: icmp_seq=266 ttl=114 time=53.6 ms
2020-07-25 04:20:53 64 bytes from 8.8.8.8: icmp_seq=267 ttl=114 time=44.9 ms
2020-07-25 04:21:53 64 bytes from 8.8.8.8: icmp_seq=268 ttl=114 time=38.8 ms
2020-07-25 04:22:53 64 bytes from 8.8.8.8: icmp_seq=269 ttl=114 time=49.0 ms
2020-07-25 04:23:53 64 bytes from 8.8.8.8: icmp_seq=270 ttl=114 time=37.4 ms
2020-07-25 04:24:53 64 bytes from 8.8.8.8: icmp_seq=271 ttl=114 time=42.6 ms
2020-07-25 04:25:53 64 bytes from 8.8.8.8: icmp_seq=272 ttl=114 time=53.0 ms
2020-07-25 04:26:53 64 bytes from 8.8.8.8: icmp_seq=273 ttl=114 time=41.6 ms
2020-07-25 04:27:53 64 bytes from 8.8.8.8: icmp_seq=274 ttl=114 time=48.4 ms
2020-07-25 04:28:53 64 bytes from 8.8.8.8: icmp_seq=275 ttl=114 time=38.5 ms
2020-07-25 04:29:53 64 bytes from 8.8.8.8: icmp_seq=276 ttl=114 time=48.4 ms
2020-07-25 04:30:53 64 bytes from 8.8.8.8: icmp_seq=277 ttl=114 time=43.6 ms
2020-07-25 04:31:53 64 bytes from 8.8.8.8: icmp_seq=278 ttl=114 time=55.8 ms
2020-07-25 04:32:53 64 bytes from 8.8.8.8: icmp_seq=279 ttl=114 time=57.1 ms
2020-07-25 04:33:53 64 bytes from 8.8.8.8: icmp_seq=280 ttl=114 time=46.3 ms
2020-07-25 04:34:53 64 bytes from 8.8.8.8: icmp_seq=281 ttl=114 time=41.1 ms
2020-07-25 04:35:53 64 bytes from 8.8.8.8: icmp_seq=282 ttl=114 time=44.7 ms
2020-07-25 04:36:53 64 bytes from 8.8.8.8: icmp_seq=283 ttl=114 time=49.8 ms
2020-07-25 04:37:53 64 bytes from 8.8.8.8: icmp_seq=284 ttl=114 time=45.3 ms
2020-07-25 04:38:53 64 bytes from 8.8.8.8: icmp_seq=285 ttl=114 time=42.6 ms
2020-07-25 04:39:53 64 bytes from 8.8.8.8: icmp_seq=286 ttl=114 time=42.0 ms
2020-07-25 04:40:53 64 bytes from 8.8.8.8: icmp_seq=287 ttl=114 time=50.3 ms
2020-07-25 04:41:53 64 bytes from 8.8.8.8: icmp_seq=288 ttl=114 time=37.6 ms
2020-07-25 04:42:53 64 bytes from 8.8.8.8: icmp_seq=289 ttl=114 time=53.5 ms
2020-07-25 04:43:53 64 bytes from 8.8.8.8: icmp_seq=290 ttl=114 time=53.9 ms
2020-07-25 04:44:53 64 bytes from 8.8.8.8: icmp_seq=291 ttl=114 time=49.9 ms
2020-07-25 04:45:53 64 bytes from 8.8.8.8: icmp_seq=292 ttl=114 time=56.6 ms
2020-07-25 04:46:53 64 bytes from 8.8.8.8: icmp_seq=293 ttl=114 time=49.9 ms
2020-07-25 04:47:53 64 bytes from 8.8.8.8: icmp_seq=294 ttl=114 time=54.6 ms
2020-07-25 04:48:53 64 bytes from 8.8.8.8: icmp_seq=295 ttl=114 time=40.9 ms
2020-07-25 04:49:53 64 bytes from 8.8.8.8: icmp_seq=296 ttl=114 time=43.7 ms
2020-07-25 04:50:53 64 bytes from 8.8.8.8: icmp_seq=297 ttl=114 time=56.5 ms
2020-07-25 04:51:53 64 bytes from 8.8.8.8: icmp_seq=298 ttl=114 time=42.0 ms
2020-07-25 04:52:53 64 bytes from 8.8.8.8: icmp_seq=299 ttl=114 time=46.7 ms
2020-07-25 04:53:53 64 bytes from 8.8.8.8: icmp_seq=300 ttl=114 time=49.7 ms
2020-07-25 04:54:53 64 bytes from 8.8.8.8: icmp_seq=301 ttl=114 time=57.4 ms
2020-07-25 04:55:53 64 bytes from 8.8.8.8: icmp_seq=302 ttl=114 time=46.4 ms
2020-07-25 04:56:53 64 bytes from 8.8.8.8: icmp_seq=303 ttl=114 time=51.0 ms
2020-07-25 04:57:53 64 bytes from 8.8.8.8: icmp_seq=304 ttl=114 time=43.2 ms
2020-07-25 04:58:53 64 bytes from 8.8.8.8: icmp_seq=305 ttl=114 time=34.1 ms
2020-07-25 04:59:53 64 bytes from 8.8.8.8: icmp_seq=306 ttl=114 time=46.5 ms
2020-07-25 05:00:53 64 bytes from 8.8.8.8: icmp_seq=307 ttl=114 time=50.4 ms
2020-07-25 05:01:53 64 bytes from 8.8.8.8: icmp_seq=308 ttl=114 time=38.6 ms
2020-07-25 05:02:53 64 bytes from 8.8.8.8: icmp_seq=309 ttl=114 time=42.0 ms
2020-07-25 05:03:53 64 bytes from 8.8.8.8: icmp_seq=310 ttl=114 time=41.2 ms
2020-07-25 05:04:53 64 bytes from 8.8.8.8: icmp_seq=311 ttl=114 time=43.7 ms
2020-07-25 05:05:53 64 bytes from 8.8.8.8: icmp_seq=312 ttl=114 time=44.1 ms
2020-07-25 05:06:53 64 bytes from 8.8.8.8: icmp_seq=313 ttl=114 time=39.7 ms
2020-07-25 05:07:53 64 bytes from 8.8.8.8: icmp_seq=314 ttl=114 time=35.3 ms
2020-07-25 05:08:53 64 bytes from 8.8.8.8: icmp_seq=315 ttl=114 time=81.2 ms
2020-07-25 05:09:53 64 bytes from 8.8.8.8: icmp_seq=316 ttl=114 time=43.4 ms
2020-07-25 05:10:53 64 bytes from 8.8.8.8: icmp_seq=317 ttl=114 time=54.3 ms
2020-07-25 05:11:53 64 bytes from 8.8.8.8: icmp_seq=318 ttl=114 time=54.2 ms
2020-07-25 05:12:53 64 bytes from 8.8.8.8: icmp_seq=319 ttl=114 time=42.7 ms
2020-07-25 05:13:53 64 bytes from 8.8.8.8: icmp_seq=320 ttl=114 time=57.3 ms
2020-07-25 05:14:53 64 bytes from 8.8.8.8: icmp_seq=321 ttl=114 time=38.5 ms
2020-07-25 05:15:53 64 bytes from 8.8.8.8: icmp_seq=322 ttl=114 time=43.8 ms
2020-07-25 05:16:53 64 bytes from 8.8.8.8: icmp_seq=323 ttl=114 time=47.1 ms
2020-07-25 05:17:53 64 bytes from 8.8.8.8: icmp_seq=324 ttl=114 time=53.2 ms
2020-07-25 05:18:53 64 bytes from 8.8.8.8: icmp_seq=325 ttl=114 time=52.7 ms
2020-07-25 05:19:53 64 bytes from 8.8.8.8: icmp_seq=326 ttl=114 time=52.5 ms
2020-07-25 05:20:53 64 bytes from 8.8.8.8: icmp_seq=327 ttl=114 time=46.2 ms
2020-07-25 05:21:53 64 bytes from 8.8.8.8: icmp_seq=328 ttl=114 time=51.7 ms
2020-07-25 05:22:53 64 bytes from 8.8.8.8: icmp_seq=329 ttl=114 time=44.4 ms
2020-07-25 05:23:54 64 bytes from 8.8.8.8: icmp_seq=330 ttl=114 time=42.2 ms
2020-07-25 05:24:54 64 bytes from 8.8.8.8: icmp_seq=331 ttl=114 time=48.7 ms
2020-07-25 05:25:54 64 bytes from 8.8.8.8: icmp_seq=332 ttl=114 time=48.5 ms
2020-07-25 05:26:54 64 bytes from 8.8.8.8: icmp_seq=333 ttl=114 time=48.5 ms
2020-07-25 05:27:54 64 bytes from 8.8.8.8: icmp_seq=334 ttl=114 time=59.3 ms
2020-07-25 05:28:54 64 bytes from 8.8.8.8: icmp_seq=335 ttl=114 time=50.5 ms
2020-07-25 05:29:54 64 bytes from 8.8.8.8: icmp_seq=336 ttl=114 time=58.9 ms
2020-07-25 05:30:54 64 bytes from 8.8.8.8: icmp_seq=337 ttl=114 time=48.7 ms
2020-07-25 05:31:54 64 bytes from 8.8.8.8: icmp_seq=338 ttl=114 time=45.2 ms
2020-07-25 05:32:54 64 bytes from 8.8.8.8: icmp_seq=339 ttl=114 time=52.8 ms
2020-07-25 05:33:54 64 bytes from 8.8.8.8: icmp_seq=340 ttl=114 time=49.8 ms
2020-07-25 05:34:54 64 bytes from 8.8.8.8: icmp_seq=341 ttl=114 time=49.3 ms
2020-07-25 05:35:54 64 bytes from 8.8.8.8: icmp_seq=342 ttl=114 time=50.2 ms
2020-07-25 05:36:54 64 bytes from 8.8.8.8: icmp_seq=343 ttl=114 time=67.0 ms
2020-07-25 05:37:54 64 bytes from 8.8.8.8: icmp_seq=344 ttl=114 time=48.4 ms
2020-07-25 05:38:54 64 bytes from 8.8.8.8: icmp_seq=345 ttl=114 time=51.1 ms
2020-07-25 05:39:54 64 bytes from 8.8.8.8: icmp_seq=346 ttl=114 time=50.9 ms
2020-07-25 05:40:54 64 bytes from 8.8.8.8: icmp_seq=347 ttl=114 time=62.3 ms
2020-07-25 05:41:54 64 bytes from 8.8.8.8: icmp_seq=348 ttl=114 time=62.1 ms
2020-07-25 05:42:54 64 bytes from 8.8.8.8: icmp_seq=349 ttl=114 time=53.2 ms
2020-07-25 05:43:54 64 bytes from 8.8.8.8: icmp_seq=350 ttl=114 time=46.3 ms
2020-07-25 05:43:55 --- 8.8.8.8 ping statistics ---
2020-07-25 05:43:55 350 packets transmitted, 350 received, 0% packet loss, time 20949472ms
2020-07-25 05:43:55 rtt min/avg/max/mdev = 34.114/62.052/241.606/25.691 ms

############## carina - 07/25/20 05:54:45 EDT -0400 ##############

2020-07-25 05:54:45 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-25 05:54:45 64 bytes from 8.8.8.8: icmp_seq=1 ttl=114 time=47.5 ms
