
############## carina - 07/24/20 18:10:17 EDT -0400 ##############

2020-07-24 18:10:17 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-25 00:41:47 64 bytes from 8.8.8.8: icmp_seq=48 ttl=114 time=62.1 ms
2020-07-25 00:42:47 64 bytes from 8.8.8.8: icmp_seq=49 ttl=114 time=71.2 ms
2020-07-25 00:43:47 64 bytes from 8.8.8.8: icmp_seq=50 ttl=114 time=60.5 ms
2020-07-25 00:44:47 64 bytes from 8.8.8.8: icmp_seq=51 ttl=114 time=118 ms
2020-07-25 00:45:47 64 bytes from 8.8.8.8: icmp_seq=52 ttl=114 time=69.4 ms
2020-07-25 00:46:47 64 bytes from 8.8.8.8: icmp_seq=53 ttl=114 time=109 ms
2020-07-25 00:47:47 64 bytes from 8.8.8.8: icmp_seq=54 ttl=114 time=63.2 ms
2020-07-25 00:48:47 64 bytes from 8.8.8.8: icmp_seq=55 ttl=114 time=65.7 ms
2020-07-25 00:49:47 64 bytes from 8.8.8.8: icmp_seq=56 ttl=114 time=69.0 ms
2020-07-25 00:50:47 64 bytes from 8.8.8.8: icmp_seq=57 ttl=114 time=89.6 ms
2020-07-25 00:51:47 64 bytes from 8.8.8.8: icmp_seq=58 ttl=114 time=58.1 ms
2020-07-25 00:52:47 64 bytes from 8.8.8.8: icmp_seq=59 ttl=114 time=74.5 ms
2020-07-25 00:53:47 64 bytes from 8.8.8.8: icmp_seq=60 ttl=114 time=69.5 ms
2020-07-25 00:54:47 64 bytes from 8.8.8.8: icmp_seq=61 ttl=114 time=51.3 ms
2020-07-25 00:55:47 64 bytes from 8.8.8.8: icmp_seq=62 ttl=114 time=83.8 ms
2020-07-25 00:56:47 64 bytes from 8.8.8.8: icmp_seq=63 ttl=114 time=76.5 ms
2020-07-25 00:57:47 64 bytes from 8.8.8.8: icmp_seq=64 ttl=114 time=58.3 ms
2020-07-25 00:58:47 64 bytes from 8.8.8.8: icmp_seq=65 ttl=114 time=65.3 ms
2020-07-25 00:59:47 64 bytes from 8.8.8.8: icmp_seq=66 ttl=114 time=72.8 ms
2020-07-25 01:00:47 64 bytes from 8.8.8.8: icmp_seq=67 ttl=114 time=61.0 ms
2020-07-25 01:01:47 64 bytes from 8.8.8.8: icmp_seq=68 ttl=114 time=50.0 ms
2020-07-25 01:02:48 64 bytes from 8.8.8.8: icmp_seq=69 ttl=114 time=64.3 ms
2020-07-25 01:03:48 64 bytes from 8.8.8.8: icmp_seq=70 ttl=114 time=77.9 ms
2020-07-25 01:04:48 64 bytes from 8.8.8.8: icmp_seq=71 ttl=114 time=56.7 ms
2020-07-25 01:05:48 64 bytes from 8.8.8.8: icmp_seq=72 ttl=114 time=46.6 ms
2020-07-25 01:06:48 64 bytes from 8.8.8.8: icmp_seq=73 ttl=114 time=63.8 ms
2020-07-25 01:07:48 64 bytes from 8.8.8.8: icmp_seq=74 ttl=114 time=55.2 ms
2020-07-25 01:08:48 64 bytes from 8.8.8.8: icmp_seq=75 ttl=114 time=58.6 ms
2020-07-25 01:09:48 64 bytes from 8.8.8.8: icmp_seq=76 ttl=114 time=55.1 ms
2020-07-25 01:10:48 64 bytes from 8.8.8.8: icmp_seq=77 ttl=114 time=53.1 ms
2020-07-25 01:11:48 64 bytes from 8.8.8.8: icmp_seq=78 ttl=114 time=51.2 ms
2020-07-25 01:12:48 64 bytes from 8.8.8.8: icmp_seq=79 ttl=114 time=61.6 ms
2020-07-25 01:13:48 64 bytes from 8.8.8.8: icmp_seq=80 ttl=114 time=54.9 ms
2020-07-25 01:14:48 64 bytes from 8.8.8.8: icmp_seq=81 ttl=114 time=69.2 ms
2020-07-25 01:15:48 64 bytes from 8.8.8.8: icmp_seq=82 ttl=114 time=56.9 ms
