"TOA5","10344","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_4APR18.CR3","50113","scratch"
"TIMESTAMP","RECORD","AirTC_Avg","e_hmp_Avg","e_saAirTC_Avg"
"TS","RN","Deg C","",""
"","","Avg","Avg","Avg"
"2018-04-05 12:25:00",0,10.75307,0.4648873,1.290537
"2018-04-05 12:37:00",12,14.66594,0.5985559,1.668224
"2018-04-05 12:40:00",15,20.6732,1.001054,2.456731
"2018-04-05 12:45:00",20,20.40388,1.016037,2.398502
"2018-04-05 12:50:00",25,20.39365,0.9898353,2.395728
"2018-04-05 12:55:00",30,10.33222,0.3715658,1.254772
"2018-04-05 13:00:00",35,10.16808,0.364169,1.241013
"2018-04-05 13:05:00",40,10.45775,0.3932301,1.265345
"2018-04-05 13:21:00",56,20.93864,0.9895304,2.477628
"2018-04-05 13:25:00",60,19.21257,0.8945067,2.22696
"2018-04-05 13:30:00",65,33.22836,3.016895,5.555554
"2018-04-05 13:35:00",70,42.40048,5.486643,8.797689
"2018-04-05 14:02:00",3,20.57574,0.950664,2.449262
